index;hash_cnst;hash_symb;hash_strlen;hash_ascii;hash_rol;hash_ror;hash_mrot
196;0;0;0;2;16;0;12
197;0;0;0;6;8;0;13
198;0;0;0;4;7;0;8
199;0;0;0;3;14;0;10
200;0;0;0;7;11;0;10
201;0;0;0;10;7;0;7
202;0;0;0;11;11;0;13
203;0;0;0;4;13;0;9
204;0;0;0;8;10;0;10
205;0;0;0;5;11;0;6
206;0;0;0;5;6;0;11
207;0;0;0;5;8;0;12
208;0;0;0;1;10;0;14
209;0;0;0;5;7;0;9
210;0;0;0;5;10;0;7
211;0;0;0;3;12;0;5
212;0;0;0;2;6;0;7
213;0;0;0;6;10;0;12
214;0;0;0;2;11;0;7
215;0;0;0;5;6;0;6
216;0;0;0;6;16;0;8
217;0;0;0;5;11;0;13
218;0;0;0;1;8;0;14
219;0;0;0;4;15;0;8
220;0;0;0;6;8;0;15
221;0;0;0;5;9;0;9
222;0;0;0;4;9;0;11
223;0;0;0;2;11;0;6
224;0;0;0;0;15;0;12
225;0;0;0;2;14;0;10
226;0;0;0;3;10;0;10
227;0;0;0;1;12;0;11
228;0;0;0;1;9;0;14
229;0;0;0;1;10;0;9
230;0;0;0;2;12;0;12
231;0;0;0;0;13;0;11
232;0;0;0;2;17;0;9
233;0;0;0;0;10;0;6
234;0;0;0;0;12;0;7
235;0;0;0;1;10;0;16
236;0;0;0;1;8;0;11
237;0;0;0;1;11;0;8
238;0;0;0;2;10;0;11
239;0;0;0;1;12;0;10
240;0;0;0;2;13;0;9
241;0;0;0;2;7;0;10
242;0;0;0;2;11;0;9
243;0;0;0;1;11;0;17
244;0;0;0;0;11;0;8
245;0;0;0;0;15;0;16
246;0;0;0;1;12;0;15
247;0;0;0;1;8;0;7
248;0;0;0;1;12;0;9
249;0;0;0;4;18;0;9
250;0;0;0;1;13;0;7
251;0;0;0;1;10;0;3
252;0;0;0;3;9;0;9
253;0;0;0;0;8;0;6
254;0;0;0;0;9;0;7
255;0;0;0;2;9;0;18
256;0;0;0;1;20;0;10
257;0;0;0;2;13;0;14
258;0;0;0;4;17;0;7
259;0;0;0;2;15;0;14
260;0;0;0;2;12;0;8
261;0;0;0;3;16;0;4
262;0;0;0;5;16;0;6
263;0;0;0;4;13;0;7
264;0;0;0;1;10;0;7
265;0;0;0;3;19;0;13
266;0;0;0;6;20;0;10
267;0;0;0;4;15;0;7
268;0;0;0;3;10;0;5
269;0;0;0;4;17;0;15
270;0;0;0;4;11;0;11
271;0;0;0;5;13;0;11
272;0;0;0;7;12;0;13
273;0;0;0;6;14;0;5
274;0;0;0;7;18;0;14
275;0;0;0;4;11;0;10
276;0;0;0;4;12;0;7
277;0;0;0;6;11;0;9
278;0;0;0;6;15;0;10
279;0;0;0;9;17;0;9
280;0;0;0;4;13;0;10
281;0;0;0;4;13;0;9
282;0;0;0;10;15;0;5
283;0;0;0;7;14;0;7
284;0;0;0;6;12;0;7
285;0;0;0;5;19;0;9
286;0;0;0;4;7;0;7
287;0;0;0;10;15;0;8
288;0;0;0;11;15;0;9
289;0;0;0;6;6;0;5
290;0;0;0;7;14;0;12
291;0;0;0;5;13;0;15
292;0;0;0;11;14;0;8
293;0;0;0;6;13;0;16
294;0;0;0;9;9;0;11
295;0;0;0;8;11;0;7
296;0;0;0;6;15;0;9
297;0;0;0;6;13;0;11
298;0;0;0;5;10;0;13
299;0;0;0;10;10;0;11
300;0;0;0;7;11;0;12
301;0;0;0;8;16;0;9
302;0;0;0;6;11;0;6
303;0;0;0;10;9;0;8
304;0;0;0;5;10;0;9
305;0;0;0;9;7;0;7
306;0;0;0;9;14;0;14
307;0;0;0;3;13;0;5
308;0;0;0;11;8;0;7
309;0;0;0;9;5;0;12
310;0;0;0;3;10;0;5
311;0;0;0;9;14;0;11
312;0;0;0;12;12;0;8
313;0;0;0;9;9;0;11
314;0;0;0;12;8;0;9
315;0;0;0;13;11;0;8
316;0;0;0;7;13;0;8
317;0;0;0;9;9;0;5
318;0;0;0;11;12;0;13
319;0;0;0;9;6;0;14
320;0;0;0;12;11;0;18
321;0;0;0;5;5;0;12
322;0;0;0;9;7;0;14
323;0;0;0;6;9;0;5
324;0;0;0;8;9;0;5
325;0;0;0;10;10;0;8
326;0;0;0;5;8;0;13
327;0;0;0;12;11;0;19
328;0;0;0;8;8;0;4
329;0;0;0;7;11;0;13
330;0;0;0;9;8;0;8
331;0;0;0;10;12;0;8
332;0;0;0;7;12;0;13
333;0;0;0;5;17;0;16
334;0;0;0;6;8;0;13
335;0;0;0;6;12;0;7
336;0;0;0;7;13;0;11
337;0;0;0;7;16;0;13
338;0;0;0;7;9;0;10
339;0;0;0;2;8;0;14
340;0;0;0;7;9;0;6
341;0;0;0;4;12;0;7
342;0;0;0;3;21;0;13
343;0;0;0;2;10;0;15
344;0;0;0;6;8;0;8
345;0;0;0;2;5;0;13
346;0;0;0;1;17;0;7
347;0;0;0;1;16;0;10
348;0;0;0;1;12;0;12
349;0;0;0;2;9;0;7
350;0;0;0;1;10;0;9
351;0;0;0;1;10;0;12
352;0;0;0;0;10;0;9
353;0;0;0;1;6;0;19
354;0;0;0;0;13;0;12
355;0;0;0;1;7;0;12
356;0;0;0;0;10;0;11
357;0;0;0;3;13;0;13
358;0;0;0;1;9;0;9
359;0;0;0;0;8;0;12
360;0;0;0;1;12;0;12
361;0;0;0;0;13;0;7
362;0;0;0;1;14;0;13
363;0;0;0;0;10;0;7
364;0;0;0;0;17;0;6
365;0;0;0;0;11;0;12
366;0;0;0;1;10;0;6
367;0;0;0;1;9;0;9
368;0;0;0;3;15;0;7
369;0;0;0;2;8;0;9
370;0;0;0;2;11;0;8
371;0;0;0;4;12;0;10
372;0;0;0;1;15;0;5
373;0;0;0;3;16;0;6
374;0;0;0;1;7;0;11
375;0;0;0;0;12;0;10
376;0;0;0;2;11;0;8
377;0;0;0;2;14;0;11
378;0;0;0;4;15;0;10
379;0;0;0;6;12;0;18
380;0;0;0;6;15;0;5
381;0;0;0;2;13;0;12
382;0;0;0;8;14;0;17
383;0;0;0;2;8;0;13
384;0;0;0;8;15;0;9
385;0;0;0;7;9;0;12
386;0;0;0;10;8;0;15
387;0;0;0;7;16;0;5
388;0;0;0;3;9;0;9
389;0;0;0;10;16;0;8
390;0;0;0;7;17;0;11
391;0;0;0;5;11;0;18
392;0;0;0;4;12;0;12
393;0;0;0;6;16;0;12
394;0;0;0;7;14;0;3
395;0;0;0;8;12;0;11
396;0;0;0;6;11;0;3
397;0;0;0;3;12;0;7
398;0;0;0;7;10;0;17
399;0;0;0;9;8;0;8
400;0;0;0;11;5;0;7
401;0;0;0;10;8;0;14
402;0;0;0;10;17;0;15
403;0;0;0;9;14;0;11
404;0;0;0;13;18;0;8
405;0;0;0;10;7;0;13
406;0;0;0;7;12;0;12
407;0;0;0;8;5;0;5
408;0;0;0;10;13;0;12
409;0;0;0;9;8;0;6
410;0;0;0;13;15;0;4
411;0;0;0;16;10;0;12
412;0;0;0;20;14;0;11
413;0;0;0;13;4;0;9
414;0;0;0;23;7;0;3
415;0;0;0;22;5;0;11
416;0;0;0;18;10;0;8
417;0;0;0;18;8;0;11
418;0;0;0;25;12;0;11
419;0;0;0;17;12;0;12
420;0;0;0;20;16;0;8
421;0;0;0;16;13;0;10
422;0;0;0;30;13;0;8
423;0;0;0;18;6;0;8
424;0;0;0;22;17;0;11
425;0;0;0;24;11;0;11
426;0;0;0;30;9;0;4
427;0;0;0;22;10;0;8
428;0;0;0;21;9;0;13
429;0;0;0;20;8;0;6
430;0;0;0;22;11;0;13
431;0;0;0;25;12;0;12
432;0;0;0;27;5;0;8
433;0;0;0;18;10;0;8
434;0;0;0;23;4;0;11
435;0;0;0;22;8;0;10
436;0;0;0;21;12;0;12
437;0;0;0;19;11;0;12
438;0;0;0;14;8;0;17
439;0;0;0;17;8;0;11
440;0;0;0;24;5;0;16
441;0;0;0;18;10;0;15
442;0;0;0;18;12;0;8
443;0;0;0;14;5;0;4
444;0;0;0;17;11;0;11
445;0;0;0;13;8;0;11
446;0;0;0;11;10;0;13
447;0;0;0;9;7;0;13
448;0;0;0;16;12;0;10
449;0;0;0;7;16;0;8
450;0;0;0;9;12;0;11
451;0;0;0;11;10;0;9
452;0;0;0;6;9;0;5
453;0;0;0;5;9;0;9
